"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000108911","ENSMUSG00000108911","Gm45113","predicted gene 45113 [Source:MGI Symbol;Acc:MGI:5753689]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030209","ENSMUSG00000030209","Grin2b","glutamate receptor, ionotropic, NMDA2B (epsilon 2) [Source:MGI Symbol;Acc:MGI:95821]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109893","ENSMUSG00000109893","Gm9655","predicted gene 9655 [Source:MGI Symbol;Acc:MGI:3780063]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084235","ENSMUSG00000084235","Gm15421","predicted gene 15421 [Source:MGI Symbol;Acc:MGI:3705475]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000066009","ENSMUSG00000066009","Zfp987","zinc finger protein 987 [Source:MGI Symbol;Acc:MGI:3702694]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025362","ENSMUSG00000025362","Rps26","ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104923","ENSMUSG00000104923","Gm5865","predicted gene 5865 [Source:MGI Symbol;Acc:MGI:3645504]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103505","ENSMUSG00000103505","Gm38374","predicted gene, 38374 [Source:MGI Symbol;Acc:MGI:5611602]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000093385","ENSMUSG00000093385","A330044P14Rik","RIKEN cDNA A330044P14 gene [Source:MGI Symbol;Acc:MGI:2441792]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000046314","ENSMUSG00000046314","Stxbp6","syntaxin binding protein 6 (amisyn) [Source:MGI Symbol;Acc:MGI:2384963]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115701","ENSMUSG00000115701","Vmn1r6","vomeronasal 1 receptor 6 [Source:MGI Symbol;Acc:MGI:2159456]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000070047","ENSMUSG00000070047","Fat1","FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048581","ENSMUSG00000048581","E130311K13Rik","RIKEN cDNA E130311K13 gene [Source:MGI Symbol;Acc:MGI:3607716]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105741","ENSMUSG00000105741","C79130","expressed sequence C79130 [Source:MGI Symbol;Acc:MGI:2141307]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027858","ENSMUSG00000027858","Tspan2","tetraspanin 2 [Source:MGI Symbol;Acc:MGI:1917997]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000009376","ENSMUSG00000009376","Met","met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028399","ENSMUSG00000028399","Ptprd","protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000095430","ENSMUSG00000095430","Vmn1r72","vomeronasal 1 receptor 72 [Source:MGI Symbol;Acc:MGI:2182256]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030849","ENSMUSG00000030849","Fgfr2","fibroblast growth factor receptor 2 [Source:MGI Symbol;Acc:MGI:95523]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115020","ENSMUSG00000115020","Vmn1r218","vomeronasal 1 receptor 218 [Source:MGI Symbol;Acc:MGI:2159691]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000077737","ENSMUSG00000077737","Snord72","small nucleolar RNA, C/D box 72 [Source:MGI Symbol;Acc:MGI:3819555]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052430","ENSMUSG00000052430","Bmpr1b","bone morphogenetic protein receptor, type 1B [Source:MGI Symbol;Acc:MGI:107191]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024084","ENSMUSG00000024084","Qpct","glutaminyl-peptide cyclotransferase (glutaminyl cyclase) [Source:MGI Symbol;Acc:MGI:1917786]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000089810","ENSMUSG00000089810","Gm16536","predicted gene 16536 [Source:MGI Symbol;Acc:MGI:4414956]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064343","ENSMUSG00000064343","mt-Tq","mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114183","ENSMUSG00000114183","Gm47195","predicted gene, 47195 [Source:MGI Symbol;Acc:MGI:6095989]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117301","ENSMUSG00000117301","Gm35883","predicted gene, 35883 [Source:MGI Symbol;Acc:MGI:5595042]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114095","ENSMUSG00000114095","Gm47424","predicted gene, 47424 [Source:MGI Symbol;Acc:MGI:6096366]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019772","ENSMUSG00000019772","Vip","vasoactive intestinal polypeptide [Source:MGI Symbol;Acc:MGI:98933]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000087470","ENSMUSG00000087470","A630031M04Rik","RIKEN cDNA A630031M04 gene [Source:MGI Symbol;Acc:MGI:2444470]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000014329","ENSMUSG00000014329","Bicc1","BicC family RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1933388]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000067597","ENSMUSG00000067597","Dgat2l6","diacylglycerol O-acyltransferase 2-like 6 [Source:MGI Symbol;Acc:MGI:3045268]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038805","ENSMUSG00000038805","Six3","sine oculis-related homeobox 3 [Source:MGI Symbol;Acc:MGI:102764]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081838","ENSMUSG00000081838","Gm13038","predicted gene 13038 [Source:MGI Symbol;Acc:MGI:3650684]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000074805","ENSMUSG00000074805","Il1bos","interleukin 1 beta, opposite strand [Source:MGI Symbol;Acc:MGI:3650458]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114110","ENSMUSG00000114110","Gm46379","predicted gene, 46379 [Source:MGI Symbol;Acc:MGI:5826016]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000044583","ENSMUSG00000044583","Tlr7","toll-like receptor 7 [Source:MGI Symbol;Acc:MGI:2176882]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041138","ENSMUSG00000041138","Nme8","NME/NM23 family member 8 [Source:MGI Symbol;Acc:MGI:1920662]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086338","ENSMUSG00000086338","Or8h6","olfactory receptor family 8 subfamily H member 6 [Source:MGI Symbol;Acc:MGI:3030930]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065501","ENSMUSG00000065501","Mir335","microRNA 335 [Source:MGI Symbol;Acc:MGI:3619348]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075172","ENSMUSG00000075172","Or8k40","olfactory receptor family 8 subfamily K member 40 [Source:MGI Symbol;Acc:MGI:3030924]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081650","ENSMUSG00000081650","Gm16181","predicted gene 16181 [Source:MGI Symbol;Acc:MGI:3802038]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000111953","ENSMUSG00000111953","Gm18637","predicted gene, 18637 [Source:MGI Symbol;Acc:MGI:5010822]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116994","ENSMUSG00000116994","Gm49684","predicted gene, 49684 [Source:MGI Symbol;Acc:MGI:6215133]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000101174","ENSMUSG00000101174","Hoxd4","homeobox D4 [Source:MGI Symbol;Acc:MGI:96208]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000096995","ENSMUSG00000096995","2810029C07Rik","RIKEN cDNA 2810029C07 gene [Source:MGI Symbol;Acc:MGI:1919920]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116962","ENSMUSG00000116962","Gm19000","predicted gene, 19000 [Source:MGI Symbol;Acc:MGI:5011185]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050103","ENSMUSG00000050103","Agmo","alkylglycerol monooxygenase [Source:MGI Symbol;Acc:MGI:2442495]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000053963","ENSMUSG00000053963","Stum","mechanosensory transduction mediator [Source:MGI Symbol;Acc:MGI:2138735]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000074061","ENSMUSG00000074061","Fbxw19","F-box and WD-40 domain protein 19 [Source:MGI Symbol;Acc:MGI:3505706]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035273","ENSMUSG00000035273","Hpse","heparanase [Source:MGI Symbol;Acc:MGI:1343124]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029338","ENSMUSG00000029338","Antxr2","anthrax toxin receptor 2 [Source:MGI Symbol;Acc:MGI:1919164]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027016","ENSMUSG00000027016","Zfp385b","zinc finger protein 385B [Source:MGI Symbol;Acc:MGI:2444734]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104385","ENSMUSG00000104385","Gm7449","predicted gene 7449 [Source:MGI Symbol;Acc:MGI:3647895]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000096139","ENSMUSG00000096139","Pramel50","PRAME like 50 [Source:MGI Symbol;Acc:MGI:3704107]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075062","ENSMUSG00000075062","Or4b12","olfactory receptor family 4 subfamily B member 12 [Source:MGI Symbol;Acc:MGI:3031105]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117090","ENSMUSG00000117090","Gm49921","predicted gene, 49921 [Source:MGI Symbol;Acc:MGI:6270625]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026610","ENSMUSG00000026610","Esrrg","estrogen-related receptor gamma [Source:MGI Symbol;Acc:MGI:1347056]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000056648","ENSMUSG00000056648","Hoxb8","homeobox B8 [Source:MGI Symbol;Acc:MGI:96189]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084474","ENSMUSG00000084474","Gm25783","predicted gene, 25783 [Source:MGI Symbol;Acc:MGI:5455560]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000067220","ENSMUSG00000067220","Cnga1","cyclic nucleotide gated channel alpha 1 [Source:MGI Symbol;Acc:MGI:88436]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037653","ENSMUSG00000037653","Kctd8","potassium channel tetramerisation domain containing 8 [Source:MGI Symbol;Acc:MGI:2443804]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113216","ENSMUSG00000113216","Gm40841","predicted gene, 40841 [Source:MGI Symbol;Acc:MGI:5623726]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065811","ENSMUSG00000065811","Gm24695","predicted gene, 24695 [Source:MGI Symbol;Acc:MGI:5454472]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000106837","ENSMUSG00000106837","D630030B08Rik","RIKEN cDNA D630030B08 gene [Source:MGI Symbol;Acc:MGI:2443017]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086585","ENSMUSG00000086585","Gm16126","predicted gene 16126 [Source:MGI Symbol;Acc:MGI:3802172]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000111396","ENSMUSG00000111396","Gm7333","predicted gene 7333 [Source:MGI Symbol;Acc:MGI:3647839]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027186","ENSMUSG00000027186","Elf5","E74-like factor 5 [Source:MGI Symbol;Acc:MGI:1335079]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000012350","ENSMUSG00000012350","Ehf","ets homologous factor [Source:MGI Symbol;Acc:MGI:1270840]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020638","ENSMUSG00000020638","Cmpk2","cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114062","ENSMUSG00000114062","Gm48313","predicted gene, 48313 [Source:MGI Symbol;Acc:MGI:6097764]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000055540","ENSMUSG00000055540","Epha6","Eph receptor A6 [Source:MGI Symbol;Acc:MGI:108034]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082562","ENSMUSG00000082562","Gm11726","predicted gene 11726 [Source:MGI Symbol;Acc:MGI:3650543]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118350","ENSMUSG00000118350","Gm36339","predicted gene, 36339 [Source:MGI Symbol;Acc:MGI:5595498]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091794","ENSMUSG00000091794","Vmn2r18","vomeronasal 2, receptor 18 [Source:MGI Symbol;Acc:MGI:3645314]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091972","ENSMUSG00000091972","Tmem207","transmembrane protein 207 [Source:MGI Symbol;Acc:MGI:2685386]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000106764","ENSMUSG00000106764","Gm42529","predicted gene 42529 [Source:MGI Symbol;Acc:MGI:5662666]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000084271","ENSMUSG00000084271","Gm14846","predicted gene 14846 [Source:MGI Symbol;Acc:MGI:3705595]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033213","ENSMUSG00000033213","AA467197","expressed sequence AA467197 [Source:MGI Symbol;Acc:MGI:3034182]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002076300","ENSMUSG00002076300","Gm54808","predicted gene, 54808 [Source:MGI Symbol;Acc:MGI:6846093]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086172","ENSMUSG00000086172","2700068H02Rik","RIKEN cDNA 2700068H02 gene [Source:MGI Symbol;Acc:MGI:1919813]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103747","ENSMUSG00000103747","Gm38236","predicted gene, 38236 [Source:MGI Symbol;Acc:MGI:5611464]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113921","ENSMUSG00000113921","Gm48054","predicted gene, 48054 [Source:MGI Symbol;Acc:MGI:6097375]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105062","ENSMUSG00000105062","Gm43113","predicted gene 43113 [Source:MGI Symbol;Acc:MGI:5663250]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000086264","ENSMUSG00000086264","Gm15850","predicted gene 15850 [Source:MGI Symbol;Acc:MGI:3801986]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000002033","ENSMUSG00000002033","Cd3g","CD3 antigen, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88333]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112058","ENSMUSG00000112058","Gm47593","predicted gene, 47593 [Source:MGI Symbol;Acc:MGI:6096640]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000056995","ENSMUSG00000056995","Or4p7","olfactory receptor family 4 subfamily P member 7 [Source:MGI Symbol;Acc:MGI:3031012]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000000706","ENSMUSG00000000706","Btn1a1","butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045802","ENSMUSG00000045802","Hsf3","heat shock transcription factor 3 [Source:MGI Symbol;Acc:MGI:3045337]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064620","ENSMUSG00000064620","Gm22303","predicted gene, 22303 [Source:MGI Symbol;Acc:MGI:5452080]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104348","ENSMUSG00000104348","Gm37691","predicted gene, 37691 [Source:MGI Symbol;Acc:MGI:5610919]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105430","ENSMUSG00000105430","Gm43301","predicted gene 43301 [Source:MGI Symbol;Acc:MGI:5663438]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113994","ENSMUSG00000113994","Gm47375","predicted gene, 47375 [Source:MGI Symbol;Acc:MGI:6096290]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116756","ENSMUSG00000116756","Gm49770","predicted gene, 49770 [Source:MGI Symbol;Acc:MGI:6215283]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000087022","ENSMUSG00000087022","9130024F11Rik","RIKEN cDNA 9130024F11 gene [Source:MGI Symbol;Acc:MGI:1926150]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091393","ENSMUSG00000091393","5330438I03Rik","RIKEN cDNA 5330438I03 gene [Source:MGI Symbol;Acc:MGI:2685831]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000001095","ENSMUSG00000001095","Slc13a2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103094","ENSMUSG00000103094","Gm37558","predicted gene, 37558 [Source:MGI Symbol;Acc:MGI:5610786]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000046743","ENSMUSG00000046743","Fat4","FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083106","ENSMUSG00000083106","Gm15309","predicted gene 15309 [Source:MGI Symbol;Acc:MGI:3705458]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083693","ENSMUSG00000083693","Gm11971","predicted gene 11971 [Source:MGI Symbol;Acc:MGI:3650054]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083630","ENSMUSG00000083630","Gm15602","predicted gene 15602 [Source:MGI Symbol;Acc:MGI:3783049]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000055541","ENSMUSG00000055541","Lair1","leukocyte-associated Ig-like receptor 1 [Source:MGI Symbol;Acc:MGI:105492]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000073535","ENSMUSG00000073535","Gm5532","predicted gene 5532 [Source:MGI Symbol;Acc:MGI:3646828]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118151","ENSMUSG00000118151","Gm5690","predicted gene 5690 [Source:MGI Symbol;Acc:MGI:3644035]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000089647","ENSMUSG00000089647","Gm2245","predicted gene 2245 [Source:MGI Symbol;Acc:MGI:3780415]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082139","ENSMUSG00000082139","Gm16463","predicted gene 16463 [Source:MGI Symbol;Acc:MGI:3643937]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000044293","ENSMUSG00000044293","Or6c88","olfactory receptor family 6 subfamily C member 88 [Source:MGI Symbol;Acc:MGI:3030628]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109009","ENSMUSG00000109009","Gm44929","predicted gene 44929 [Source:MGI Symbol;Acc:MGI:5753505]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118698","ENSMUSG00000118698","Gm25890","predicted gene, 25890 [Source:MGI Symbol;Acc:MGI:5455667]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000119030","ENSMUSG00000119030","Rnu1b2","U1b2 small nuclear RNA [Source:MGI Symbol;Acc:MGI:104624]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091558","ENSMUSG00000091558","Gm17227","predicted gene 17227 [Source:MGI Symbol;Acc:MGI:4938054]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020181","ENSMUSG00000020181","Nav3","neuron navigator 3 [Source:MGI Symbol;Acc:MGI:2183703]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107491","ENSMUSG00000107491","Gm17893","predicted gene, 17893 [Source:MGI Symbol;Acc:MGI:5010078]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116319","ENSMUSG00000116319","Gm49429","predicted gene, 49429 [Source:MGI Symbol;Acc:MGI:6155067]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103596","ENSMUSG00000103596","Gm37354","predicted gene, 37354 [Source:MGI Symbol;Acc:MGI:5610582]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028031","ENSMUSG00000028031","Dkk2","dickkopf WNT signaling pathway inhibitor 2 [Source:MGI Symbol;Acc:MGI:1890663]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107793","ENSMUSG00000107793","4933406L23Rik","RIKEN cDNA 4933406L23 gene [Source:MGI Symbol;Acc:MGI:1913999]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108251","ENSMUSG00000108251","Gm44112","predicted gene, 44112 [Source:MGI Symbol;Acc:MGI:5690504]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000062132","ENSMUSG00000062132","Arhgap33os","Rho GTPase activating protein 33, opposite strand [Source:MGI Symbol;Acc:MGI:2685928]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021685","ENSMUSG00000021685","Otp","orthopedia homeobox [Source:MGI Symbol;Acc:MGI:99835]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117736","ENSMUSG00000117736","Gm50386","predicted gene, 50386 [Source:MGI Symbol;Acc:MGI:6303287]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079055","ENSMUSG00000079055","Slc8a3","solute carrier family 8 (sodium/calcium exchanger), member 3 [Source:MGI Symbol;Acc:MGI:107976]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081882","ENSMUSG00000081882","Gm14294","predicted gene 14294 [Source:MGI Symbol;Acc:MGI:3649965]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050377","ENSMUSG00000050377","Il31ra","interleukin 31 receptor A [Source:MGI Symbol;Acc:MGI:2180511]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000047992","ENSMUSG00000047992","Dipk1c","divergent protein kinase domain 1C [Source:MGI Symbol;Acc:MGI:3041188]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035395","ENSMUSG00000035395","Dcaf8l","DDB1 and CUL4 associated factor 8 like [Source:MGI Symbol;Acc:MGI:101758]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030125","ENSMUSG00000030125","Lrrc23","leucine rich repeat containing 23 [Source:MGI Symbol;Acc:MGI:1315192]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107764","ENSMUSG00000107764","Gm5318","predicted gene 5318 [Source:MGI Symbol;Acc:MGI:3648613]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027978","ENSMUSG00000027978","Prss12","protease, serine 12 neurotrypsin (motopsin) [Source:MGI Symbol;Acc:MGI:1100881]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110343","ENSMUSG00000110343","Gm45751","predicted gene 45751 [Source:MGI Symbol;Acc:MGI:5804866]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000078190","ENSMUSG00000078190","Dnm3os","dynamin 3, opposite strand [Source:MGI Symbol;Acc:MGI:3052332]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083823","ENSMUSG00000083823","Amd-ps1","S-adenosylmethionine decarboxylase, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1310005]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118263","ENSMUSG00000118263","Gm42064","predicted gene, 42064 [Source:MGI Symbol;Acc:MGI:5624949]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109589","ENSMUSG00000109589","Gm45267","predicted gene 45267 [Source:MGI Symbol;Acc:MGI:5791103]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114513","ENSMUSG00000114513","Gm47780","predicted gene, 47780 [Source:MGI Symbol;Acc:MGI:6096943]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108067","ENSMUSG00000108067","Gm43953","predicted gene, 43953 [Source:MGI Symbol;Acc:MGI:5690345]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000044629","ENSMUSG00000044629","Cnrip1","cannabinoid receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917505]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102485","ENSMUSG00000102485","Gm37922","predicted gene, 37922 [Source:MGI Symbol;Acc:MGI:5611150]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037106","ENSMUSG00000037106","Fer1l6","fer-1-like 6 (C. elegans) [Source:MGI Symbol;Acc:MGI:3645398]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104180","ENSMUSG00000104180","Gm37970","predicted gene, 37970 [Source:MGI Symbol;Acc:MGI:5611198]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000068606","ENSMUSG00000068606","Gm4841","predicted gene 4841 [Source:MGI Symbol;Acc:MGI:3643814]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051048","ENSMUSG00000051048","P4ha3","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000088735","ENSMUSG00000088735","Gm23897","predicted gene, 23897 [Source:MGI Symbol;Acc:MGI:5453674]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061815","ENSMUSG00000061815","Rufy4","RUN and FYVE domain containing 4 [Source:MGI Symbol;Acc:MGI:3588214]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110087","ENSMUSG00000110087","Gm45309","predicted gene 45309 [Source:MGI Symbol;Acc:MGI:5791145]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097927","ENSMUSG00000097927","Gm6999","predicted gene 6999 [Source:MGI Symbol;Acc:MGI:3647443]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109140","ENSMUSG00000109140","Gm45089","predicted gene 45089 [Source:MGI Symbol;Acc:MGI:5753665]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105797","ENSMUSG00000105797","Gm5149","predicted gene 5149 [Source:MGI Symbol;Acc:MGI:3648405]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030834","ENSMUSG00000030834","Abcc6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6 [Source:MGI Symbol;Acc:MGI:1351634]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108460","ENSMUSG00000108460","Gm39041","predicted gene, 39041 [Source:MGI Symbol;Acc:MGI:5621926]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000057777","ENSMUSG00000057777","Mab21l2","mab-21-like 2 [Source:MGI Symbol;Acc:MGI:1346022]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107918","ENSMUSG00000107918","Gm8999","predicted gene 8999 [Source:MGI Symbol;Acc:MGI:3647166]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000013353","ENSMUSG00000013353","4931406B18Rik","RIKEN cDNA 4931406B18 gene [Source:MGI Symbol;Acc:MGI:1921304]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000118670","ENSMUSG00000118670","Muc19","mucin 19 [Source:MGI Symbol;Acc:MGI:2676278]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018387","ENSMUSG00000018387","Shroom1","shroom family member 1 [Source:MGI Symbol;Acc:MGI:1919024]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000014776","ENSMUSG00000014776","Nol3","nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:MGI Symbol;Acc:MGI:1925938]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000073931","ENSMUSG00000073931","Or52d1","olfactory receptor family 52 subfamily D member 1 [Source:MGI Symbol;Acc:MGI:3030480]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115099","ENSMUSG00000115099","1700087I21Rik","RIKEN cDNA 1700087I21 gene [Source:MGI Symbol;Acc:MGI:1923869]","ARRAYEXPRESS,ENSG"
